,date,code,open,high,low,close,preclose,volume,amount,pctChg
878,2015-08-17,sz.399620,4912.0300,4954.8790,4838.2040,4954.8790,4939.1980,3479530592,67388198144.0000,0.317474
879,2015-08-18,sz.399620,4960.1600,5011.9110,4584.9960,4611.3020,4954.8790,3955741680,81531535360.0000,-6.934118
880,2015-08-19,sz.399620,4462.4210,4777.1170,4355.7090,4752.9160,4611.3020,3295946480,66438333696.0000,3.071026
881,2015-08-20,sz.399620,4742.9900,4856.9090,4655.2040,4655.2040,4752.9160,3318077968,67778739200.0000,-2.055831
882,2015-08-21,sz.399620,4533.4340,4586.6680,4347.2900,4349.1080,4655.2040,2907898368,57223065344.0000,-6.575355
883,2015-08-24,sz.399620,4133.5580,4161.3260,3999.1220,3999.1220,4349.1080,2155886096,31748478720.0000,-8.047302
884,2015-08-25,sz.399620,3695.5420,3782.7060,3687.8610,3691.0460,3999.1220,2341112384,34882668800.0000,-7.703595
885,2015-08-26,sz.399620,3656.3840,3778.3320,3458.3060,3478.5780,3691.0460,3569541120,57735126016.0000,-5.756309
886,2015-08-27,sz.399620,3538.5330,3599.3140,3371.9510,3588.4490,3478.5780,2948859616,49208626944.0000,3.158506
887,2015-08-28,sz.399620,3644.3640,3811.9410,3594.0850,3809.3530,3588.4490,3324777280,56457719808.0000,6.155976
888,2015-08-31,sz.399620,3782.0540,3782.0540,3644.9920,3657.4160,3809.3530,2598549216,45858199040.0000,-3.988525
889,2015-09-01,sz.399620,3594.6800,3594.6800,3449.2610,3495.4160,3657.4160,3088934016,43436613376.0000,-4.429357
890,2015-09-02,sz.399620,3311.7130,3586.1420,3300.7630,3411.8290,3495.4160,2984986128,46372326656.0000,-2.391329
891,2015-09-07,sz.399620,3453.4610,3567.3200,3436.3240,3468.1340,3411.8290,2635499904,44291797760.0000,1.650286
892,2015-09-08,sz.399620,3419.3640,3631.6140,3381.5160,3626.0410,3468.1340,2525693536,42557217280.0000,4.553082
893,2015-09-09,sz.399620,3640.7570,3801.2520,3640.7570,3755.5120,3626.0410,3715296304,68753944576.0000,3.570587
894,2015-09-10,sz.399620,3676.7260,3742.3800,3654.8170,3660.7830,3755.5120,2435408752,45054804480.0000,-2.522399
895,2015-09-11,sz.399620,3657.1410,3753.6950,3657.1410,3715.3960,3660.7830,2108904720,40852995584.0000,1.491840
896,2015-09-14,sz.399620,3736.7340,3744.0770,3419.2360,3423.4170,3715.3960,2547620928,42856361728.0000,-7.858624
897,2015-09-15,sz.399620,3305.4480,3388.9520,3204.3140,3213.7040,3423.4170,2285568192,35886806784.0000,-6.125800
898,2015-09-16,sz.399620,3230.5340,3457.2150,3228.7950,3449.8450,3213.7040,2676250416,41539341056.0000,7.347900
899,2015-09-17,sz.399620,3472.2490,3612.1180,3430.2320,3449.0910,3449.8450,3243403056,58093965824.0000,-0.021900
900,2015-09-18,sz.399620,3476.3430,3539.9510,3414.3820,3511.4050,3449.0910,2328069808,44651145472.0000,1.806700
901,2015-09-21,sz.399620,3454.1830,3680.2130,3440.4470,3680.2130,3511.4050,2659734880,53099457792.0000,4.807400
902,2015-09-22,sz.399620,3686.7850,3745.5950,3621.1910,3686.7970,3680.2130,2924080128,58773373184.0000,0.178900
903,2015-09-23,sz.399620,3615.4200,3726.8490,3610.9080,3673.7170,3686.7970,2502410576,50150004992.0000,-0.354800
904,2015-09-24,sz.399620,3698.3530,3762.5920,3681.9230,3719.7260,3673.7170,2502107264,52923367168.0000,1.252400
905,2015-09-25,sz.399620,3690.0410,3711.7850,3518.8820,3544.0220,3719.7260,2436755040,45715605760.0000,-4.723600
906,2015-09-28,sz.399620,3553.7550,3699.2380,3513.9290,3695.1160,3544.0220,1959274576,39541676032.0000,4.263300
907,2015-09-29,sz.399620,3629.9760,3699.2910,3595.1330,3633.5730,3695.1160,2137152912,41598308352.0000,-1.665500
908,2015-09-30,sz.399620,3653.9360,3674.6570,3569.3170,3625.0080,3633.5730,1626667712,32829317120.0000,-0.235700
909,2015-10-08,sz.399620,3759.5460,3836.7750,3726.0190,3805.7490,3625.0080,2488028976,47931996160.0000,4.985900
910,2015-10-09,sz.399620,3801.4450,3874.2340,3790.8830,3850.8830,3805.7490,2466021296,48727436800.0000,1.185900
911,2015-10-12,sz.399620,3883.6930,4082.2810,3879.8240,4035.8690,3850.8830,3598424624,67218449408.0000,4.803700
912,2015-10-13,sz.399620,4009.3530,4112.6110,3994.4940,4096.6920,4035.8690,2983217392,62239453184.0000,1.507100
913,2015-10-14,sz.399620,4072.8720,4110.5800,4016.8440,4035.8650,4096.6920,2986660800,61458181120.0000,-1.484800
914,2015-10-15,sz.399620,4024.4580,4211.6820,4021.8450,4210.2820,4035.8650,3333187712,68301094912.0000,4.321700
915,2015-10-16,sz.399620,4241.1350,4290.0200,4191.3360,4281.9930,4210.2820,3469224560,74529619968.0000,1.703200
